session_id,student_id,course_id,topic,duration_minutes,quiz_score,comprehension_level,focus_score,created_at
LS001,STU001,CS101,Introduction to Programming Basics,45,85.5,high,8,2024-08-15T10:00:00Z
LS002,STU001,CS101,Variables and Data Types,30,78.0,medium,7,2024-08-15T11:00:00Z
LS003,STU002,ART101,Digital Art Fundamentals,60,92.0,high,9,2024-08-15T14:00:00Z
LS004,STU003,MUS101,Music Theory Basics,40,75.5,medium,6,2024-08-15T16:00:00Z
LS005,STU004,CS101,Introduction to Programming Basics,50,88.0,high,9,2024-08-16T09:00:00Z
LS006,STU004,MATH101,Calculus I Introduction,35,82.5,high,8,2024-08-16T10:30:00Z
LS007,STU005,ENG101,English Composition,45,95.0,high,9,2024-08-16T13:00:00Z
LS008,STU006,MATH101,Calculus I Introduction,60,90.0,high,9,2024-08-16T15:00:00Z
LS009,STU006,PHYS101,Physics I Basics,55,87.5,high,8,2024-08-16T16:30:00Z
LS010,STU007,MUS101,Music Theory Basics,40,80.0,medium,7,2024-08-17T10:00:00Z
LS011,STU008,BUSI101,Business Fundamentals,50,85.0,high,8,2024-08-17T11:30:00Z
LS012,STU009,ART101,Digital Art Fundamentals,45,88.5,high,9,2024-08-17T14:00:00Z
LS013,STU010,LANG101,Hindi Language Basics,35,92.0,high,8,2024-08-17T16:00:00Z
LS014,STU011,HIST101,World History,50,78.0,medium,6,2024-08-18T09:00:00Z
LS015,STU012,PSYC101,Introduction to Psychology,45,91.0,high,9,2024-08-18T11:00:00Z
LS016,STU013,CS101,Introduction to Programming Basics,60,95.0,high,10,2024-08-18T13:00:00Z
LS017,STU014,ENG101,English Composition,40,89.0,high,8,2024-08-18T15:00:00Z
LS018,STU015,ENV101,Environmental Science,55,84.0,high,7,2024-08-19T10:00:00Z
LS019,STU016,PSYC101,Introduction to Psychology,45,87.5,high,8,2024-08-19T12:00:00Z
LS020,STU017,ART101,Digital Art Fundamentals,50,93.0,high,9,2024-08-19T14:00:00Z
LS021,STU018,CS101,Introduction to Programming Basics,35,72.0,medium,6,2024-08-19T16:00:00Z
LS022,STU019,BIO101,General Biology,60,88.0,high,8,2024-08-20T09:00:00Z
LS023,STU020,ECON101,Microeconomics,45,85.5,high,7,2024-08-20T11:00:00Z
LS024,STU021,PHYS101,Physics I Basics,40,80.0,medium,7,2024-08-20T13:00:00Z
LS025,STU022,MATH101,Calculus I Introduction,55,92.5,high,9,2024-08-20T15:00:00Z
LS026,STU023,PSYC101,Introduction to Psychology,50,87.0,high,8,2024-08-21T10:00:00Z
LS027,STU024,CS101,Introduction to Programming Basics,45,90.0,high,9,2024-08-21T12:00:00Z
LS028,STU025,BIO101,General Biology,40,83.5,high,7,2024-08-21T14:00:00Z
LS029,STU026,ENG101,English Composition,60,94.0,high,9,2024-08-21T16:00:00Z
LS030,STU027,ART101,Digital Art Fundamentals,35,86.0,high,8,2024-08-22T09:00:00Z
LS031,STU001,CS102,Data Structures Introduction,50,82.0,high,8,2024-08-22T11:00:00Z
LS032,STU002,ART201,Advanced Digital Design,45,89.5,high,9,2024-08-22T13:00:00Z
LS033,STU004,CS102,Data Structures Introduction,55,85.0,high,8,2024-08-22T15:00:00Z
LS034,STU005,ENG201,Technical Writing,40,91.0,high,9,2024-08-23T10:00:00Z
LS035,STU006,MATH102,Calculus II Introduction,60,88.5,high,8,2024-08-23T12:00:00Z
LS036,STU013,CS102,Data Structures Introduction,45,93.0,high,10,2024-08-23T14:00:00Z
LS037,STU020,STAT101,Statistics and Probability,50,86.0,high,8,2024-08-23T16:00:00Z
LS038,STU024,CS102,Data Structures Introduction,40,87.5,high,9,2024-08-24T09:00:00Z
LS039,STU016,PSYC201,Cognitive Psychology,55,84.0,high,7,2024-08-24T11:00:00Z
LS040,STU012,PSYC301,Mental Health and Wellness,45,92.0,high,9,2024-08-24T13:00:00Z
